Numero de onda	Acido Tereftalico.0.dpt
2982.12084	0.89933
2980.06703	0.89849
2978.01323	0.89774
2975.95943	0.89716
2973.90563	0.89663
2971.85183	0.89603
2969.79802	0.8954
2967.74422	0.89495
2965.69042	0.89462
2963.63662	0.89429
2961.58281	0.89421
2959.52901	0.89435
2957.47521	0.89429
2955.42141	0.89407
2953.36761	0.89386
2951.3138	0.89361
2949.26	0.89334
2947.2062	0.8931
2945.1524	0.89288
2943.09859	0.89283
2941.04479	0.89288
2938.99099	0.89282
2936.93719	0.89267
2934.88339	0.89249
2932.82958	0.89247
2930.77578	0.89258
2928.72198	0.89252
2926.66818	0.89233
2924.61437	0.89229
2922.56057	0.89243
2920.50677	0.89256
2918.45297	0.8925
2916.39917	0.89231
2914.34536	0.89221
2912.29156	0.89221
2910.23776	0.89217
2908.18396	0.89194
2906.13015	0.89159
2904.07635	0.89118
2902.02255	0.89061
2899.96875	0.88999
2897.91494	0.88946
2895.86114	0.88894
2893.80734	0.88837
2891.75354	0.88795
2889.69974	0.88768
2887.64593	0.88725
2885.59213	0.88659
2883.53833	0.88592
2881.48453	0.88547
2879.43072	0.88533
2877.37692	0.88529
2875.32312	0.88511
2873.26932	0.88493
2871.21552	0.88492
2869.16171	0.88488
2867.10791	0.88471
2865.05411	0.8846
2863.00031	0.88434
2860.9465	0.8839
2858.8927	0.88351
2856.8389	0.88313
2854.7851	0.88257
2852.7313	0.88174
2850.67749	0.88085
2848.62369	0.87988
2846.56989	0.87878
2844.51609	0.87789
2842.46228	0.87706
2840.40848	0.87607
2838.35468	0.87514
2836.30088	0.87429
2834.24708	0.87329
2832.19327	0.87208
2830.13947	0.87083
2828.08567	0.86967
2826.03187	0.86846
2823.97806	0.86721
2821.92426	0.86616
2819.87046	0.86558
2817.81666	0.86535
2815.76286	0.8651
2813.70905	0.86475
2811.65525	0.86452
2809.60145	0.86444
2807.54765	0.86457
2805.49384	0.86487
2803.44004	0.86506
2801.38624	0.86522
2799.33244	0.86555
2797.27864	0.86593
2795.22483	0.86644
2793.17103	0.86718
2791.11723	0.86804
2789.06343	0.86899
2787.00962	0.86989
2784.95582	0.8706
2782.90202	0.87132
2780.84822	0.87219
2778.79442	0.87309
2776.74061	0.87393
2774.68681	0.87474
2772.63301	0.87564
2770.57921	0.87654
2768.5254	0.87716
2766.4716	0.8775
2764.4178	0.87787
2762.364	0.87852
2760.3102	0.87941
2758.25639	0.88032
2756.20259	0.88121
2754.14879	0.88208
2752.09499	0.88288
2750.04118	0.88363
2747.98738	0.88442
2745.93358	0.8851
2743.87978	0.88559
2741.82598	0.88584
2739.77217	0.88604
2737.71837	0.88656
2735.66457	0.88711
2733.61077	0.88727
2731.55696	0.88725
2729.50316	0.88719
2727.44936	0.88703
2725.39556	0.88676
2723.34176	0.8863
2721.28795	0.88581
2719.23415	0.8856
2717.18035	0.88575
2715.12655	0.88619
2713.07274	0.88684
2711.01894	0.88746
2708.96514	0.8879
2706.91134	0.88822
2704.85754	0.88851
2702.80373	0.88872
2700.74993	0.88856
2698.69613	0.88801
2696.64233	0.88717
2694.58852	0.88612
