Numero de onda	polivil_alcohol.dpt
3025.25068	0.92909
3023.19688	0.92975
3021.14308	0.93009
3019.08928	0.93066
3017.03547	0.93161
3014.98167	0.93229
3012.92787	0.93259
3010.87407	0.93295
3008.82027	0.93329
3006.76646	0.93359
3004.71266	0.9344
3002.65886	0.93535
3000.60506	0.93595
2998.55125	0.93642
2996.49745	0.93673
2994.44365	0.93677
2992.38985	0.93686
2990.33605	0.93729
2988.28224	0.93767
2986.22844	0.93749
2984.17464	0.93715
2982.12084	0.93702
2980.06703	0.93679
2978.01323	0.93663
2975.95943	0.93652
2973.90563	0.93595
2971.85183	0.9347
2969.79802	0.93278
2967.74422	0.93012
2965.69042	0.9269
2963.63662	0.92331
2961.58281	0.91952
2959.52901	0.9155
2957.47521	0.91061
2955.42141	0.90461
2953.36761	0.89808
2951.3138	0.89155
2949.26	0.88513
2947.2062	0.87918
2945.1524	0.87453
2943.09859	0.8714
2941.04479	0.86951
2938.99099	0.8686
2936.93719	0.86832
2934.88339	0.86834
2932.82958	0.86887
2930.77578	0.8699
2928.72198	0.87078
2926.66818	0.87125
2924.61437	0.87124
2922.56057	0.87055
2920.50677	0.86947
2918.45297	0.86818
2916.39917	0.86674
2914.34536	0.86538
2912.29156	0.86369
2910.23776	0.86156
2908.18396	0.85958
2906.13015	0.8584
2904.07635	0.85849
2902.02255	0.85978
2899.96875	0.86217
2897.91494	0.86551
2895.86114	0.8692
2893.80734	0.8728
2891.75354	0.87627
2889.69974	0.87937
2887.64593	0.88195
2885.59213	0.8841
2883.53833	0.88588
2881.48453	0.88752
2879.43072	0.8892
2877.37692	0.89066
2875.32312	0.89144
2873.26932	0.89166
2871.21552	0.89202
2869.16171	0.89278
2867.10791	0.89374
2865.05411	0.89455
2863.00031	0.89493
2860.9465	0.89521
2858.8927	0.89571
2856.8389	0.89629
2854.7851	0.89707
2852.7313	0.89814
2850.67749	0.89925
2848.62369	0.90029
2846.56989	0.90142
2844.51609	0.90285
2842.46228	0.90443
2840.40848	0.90558
2838.35468	0.9062
2836.30088	0.90678
2834.24708	0.90746
2832.19327	0.90809
2830.13947	0.90886
2828.08567	0.90994
2826.03187	0.91103
2823.97806	0.91176
2821.92426	0.91239
2819.87046	0.91326
2817.81666	0.91431
2815.76286	0.91532
2813.70905	0.91635
2811.65525	0.9177
2809.60145	0.91932
2807.54765	0.92072
2805.49384	0.92162
2803.44004	0.92236
2801.38624	0.92314
2799.33244	0.92386
2797.27864	0.92448
2795.22483	0.9252
2793.17103	0.92596
2791.11723	0.9265
2789.06343	0.92691
2787.00962	0.92723
2784.95582	0.92758
2782.90202	0.92829
2780.84822	0.9292
2778.79442	0.9299
2776.74061	0.93046
2774.68681	0.93095
2772.63301	0.93112
2770.57921	0.93113
2768.5254	0.93119
2766.4716	0.9313
2764.4178	0.93148
2762.364	0.93171
2760.3102	0.93188
2758.25639	0.93201
2756.20259	0.93232
2754.14879	0.93289
2752.09499	0.93339
2750.04118	0.93351
2747.98738	0.93337
2745.93358	0.93322
2743.87978	0.93323
2741.82598	0.93363
2739.77217	0.93412
2737.71837	0.93442
2735.66457	0.93478
2733.61077	0.93505
2731.55696	0.93499
2729.50316	0.93503
2727.44936	0.93538
2725.39556	0.93586
2723.34176	0.93629
2721.28795	0.93642
2719.23415	0.93629
2717.18035	0.93629
2715.12655	0.93646
2713.07274	0.93651
2711.01894	0.93652
2708.96514	0.93667
2706.91134	0.93683
2704.85754	0.9369
2702.80373	0.93711
2700.74993	0.93753
2698.69613	0.93778
2696.64233	0.93769
