Numero de onda	hidroxietil_teraftalato.dpt
1992.18816	0.98122
1990.13436	0.98028
1988.08056	0.9781
1986.02676	0.97684
1983.97295	0.97683
1981.91915	0.97663
1979.86535	0.975
1977.81155	0.97379
1975.75774	0.97466
1973.70394	0.97596
1971.65014	0.97708
1969.59634	0.97768
1967.54254	0.97621
1965.48873	0.97398
1963.43493	0.9741
1961.38113	0.97613
1959.32733	0.97624
1957.27352	0.97225
1955.21972	0.96579
1953.16592	0.96031
1951.11212	0.95793
1949.05832	0.95975
1947.00451	0.96535
1944.95071	0.97093
1942.89691	0.97361
1940.84311	0.97483
1938.7893	0.97688
1936.7355	0.97916
1934.6817	0.98036
1932.6279	0.98117
1930.5741	0.98158
1928.52029	0.98084
1926.46649	0.98083
1924.41269	0.98265
1922.35889	0.98423
1920.30508	0.98418
1918.25128	0.98357
1916.19748	0.98307
1914.14368	0.98291
1912.08988	0.98317
1910.03607	0.98259
1907.98227	0.98132
1905.92847	0.98067
1903.87467	0.9803
1901.82086	0.97935
1899.76706	0.97852
1897.71326	0.97849
1895.65946	0.97867
1893.60566	0.97857
1891.55185	0.97846
1889.49805	0.9787
1887.44425	0.97886
1885.39045	0.97916
1883.33664	0.98057
1881.28284	0.98241
1879.22904	0.98262
1877.17524	0.98176
1875.12143	0.98173
1873.06763	0.98251
1871.01383	0.98312
1868.96003	0.9833
1866.90623	0.98308
1864.85242	0.98243
1862.79862	0.98193
1860.74482	0.98178
1858.69102	0.98172
1856.63721	0.9818
1854.58341	0.98253
1852.52961	0.98306
1850.47581	0.98279
1848.42201	0.98196
1846.3682	0.98025
1844.3144	0.97838
1842.2606	0.97821
1840.2068	0.97891
1838.15299	0.97846
1836.09919	0.97712
1834.04539	0.97602
1831.99159	0.97533
1829.93779	0.97412
1827.88398	0.97222
1825.83018	0.97041
1823.77638	0.96932
1821.72258	0.96879
1819.66877	0.96927
1817.61497	0.97108
1815.56117	0.97269
1813.50737	0.97309
1811.45357	0.97266
1809.39976	0.97228
1807.34596	0.97189
1805.29216	0.97143
1803.23836	0.97116
1801.18455	0.97123
1799.13075	0.97113
1797.07695	0.97098
1795.02315	0.97098
1792.96935	0.97135
1790.91554	0.97166
1788.86174	0.97121
1786.80794	0.97119
1784.75414	0.9714
1782.70033	0.97112
1780.64653	0.97026
1778.59273	0.96911
1776.53893	0.96781
1774.48513	0.96711
1772.43132	0.96717
1770.37752	0.96704
1768.32372	0.96618
1766.26992	0.96497
1764.21611	0.96412
1762.16231	0.96332
1760.10851	0.96267
1758.05471	0.96176
1756.00091	0.96054
1753.9471	0.95887
1751.8933	0.95632
1749.8395	0.952
1747.7857	0.94699
1745.73189	0.94173
1743.67809	0.93555
1741.62429	0.92896
1739.57049	0.92168
1737.51669	0.91425
1735.46288	0.90158
1733.40908	0.87242
1731.35528	0.82643
1729.30148	0.76298
1727.24767	0.68155
1725.19387	0.58881
1723.14007	0.48406
1721.08627	0.38429
1719.03247	0.30818
1716.97866	0.2621
1714.92486	0.23355
1712.87106	0.20596
1710.81726	0.18958
1708.76345	0.19801
1706.70965	0.23454
1704.65585	0.28826
1702.60205	0.34009
1700.54825	0.40209
1698.49444	0.46748
1696.44064	0.5147
1694.38684	0.54657
1692.33304	0.55631
1690.27923	0.55444
1688.22543	0.55659
1686.17163	0.57483
1684.11783	0.62017
1682.06403	0.66824
1680.01022	0.69328
1677.95642	0.7032
1675.90262	0.70269
1673.84882	0.70051
1671.79501	0.70759
1669.74121	0.7323
1667.68741	0.76754
1665.63361	0.79473
1663.57981	0.81655
1661.526	0.83575
1659.4722	0.84928
1657.4184	0.85763
1655.3646	0.86362
