Numero de onda	PCL.0.dpt
3253.22273	0.99661
3251.16893	0.99656
3249.11513	0.99634
3247.06132	0.99623
3245.00752	0.99633
3242.95372	0.99646
3240.89992	0.9964
3238.84611	0.99627
3236.79231	0.99618
3234.73851	0.99616
3232.68471	0.9962
3230.63091	0.99627
3228.5771	0.99627
3226.5233	0.99624
3224.4695	0.99635
3222.4157	0.99648
3220.36189	0.99635
3218.30809	0.99608
3216.25429	0.99587
3214.20049	0.99583
3212.14669	0.99613
3210.09288	0.99645
3208.03908	0.99647
3205.98528	0.99645
3203.93148	0.99663
3201.87767	0.99689
3199.82387	0.99693
3197.77007	0.9968
3195.71627	0.99672
3193.66247	0.99667
3191.60866	0.99667
3189.55486	0.99665
3187.50106	0.9966
3185.44726	0.99667
3183.39345	0.99668
3181.33965	0.99662
3179.28585	0.99663
3177.23205	0.99648
3175.17825	0.99621
3173.12444	0.99627
3171.07064	0.99664
3169.01684	0.99673
3166.96304	0.9964
3164.90923	0.99624
3162.85543	0.99636
3160.80163	0.99633
3158.74783	0.9963
3156.69403	0.99641
3154.64022	0.99647
3152.58642	0.99645
3150.53262	0.99636
3148.47882	0.99623
3146.42501	0.99622
3144.37121	0.9963
3142.31741	0.99619
3140.26361	0.99602
3138.20981	0.9962
3136.156	0.99636
3134.1022	0.99609
3132.0484	0.9958
3129.9946	0.996
3127.94079	0.99645
3125.88699	0.99656
3123.83319	0.99623
3121.77939	0.99592
3119.72559	0.99597
3117.67178	0.99629
3115.61798	0.99655
3113.56418	0.99661
3111.51038	0.9966
3109.45657	0.99663
3107.40277	0.99661
3105.34897	0.99655
3103.29517	0.99641
3101.24137	0.99625
3099.18756	0.99625
3097.13376	0.99621
3095.07996	0.99593
3093.02616	0.99566
3090.97235	0.99564
3088.91855	0.99574
3086.86475	0.99595
3084.81095	0.99619
3082.75715	0.99616
3080.70334	0.996
3078.64954	0.996
3076.59574	0.99606
3074.54194	0.99618
3072.48813	0.99627
3070.43433	0.99624
3068.38053	0.99635
3066.32673	0.99654
3064.27293	0.99651
3062.21912	0.99621
3060.16532	0.99585
3058.11152	0.99554
3056.05772	0.99535
3054.00391	0.99537
3051.95011	0.99556
3049.89631	0.99581
3047.84251	0.996
3045.78871	0.99594
3043.7349	0.9958
3041.6811	0.99587
3039.6273	0.99586
3037.5735	0.9956
3035.51969	0.99532
3033.46589	0.99526
3031.41209	0.99536
3029.35829	0.99533
3027.30449	0.99511
3025.25068	0.99504
3023.19688	0.99514
3021.14308	0.99514
3019.08928	0.9951
3017.03547	0.99505
3014.98167	0.99486
3012.92787	0.9945
3010.87407	0.99421
3008.82027	0.9942
3006.76646	0.99437
3004.71266	0.99424
3002.65886	0.99382
3000.60506	0.9937
2998.55125	0.99355
2996.49745	0.99279
2994.44365	0.99196
2992.38985	0.9914
2990.33605	0.99071
2988.28224	0.98978
2986.22844	0.98871
2984.17464	0.9876
2982.12084	0.9865
2980.06703	0.98513
2978.01323	0.98348
2975.95943	0.98163
2973.90563	0.9793
2971.85183	0.97679
2969.79802	0.97437
2967.74422	0.97164
2965.69042	0.96861
2963.63662	0.96551
2961.58281	0.96212
2959.52901	0.95837
2957.47521	0.95474
2955.42141	0.95182
2953.36761	0.94963
2951.3138	0.94773
2949.26	0.94583
2947.2062	0.94406
2945.1524	0.94283
2943.09859	0.94245
2941.04479	0.94285
2938.99099	0.94368
2936.93719	0.94482
2934.88339	0.94625
2932.82958	0.94799
2930.77578	0.95007
2928.72198	0.9521
2926.66818	0.95381
2924.61437	0.95536
2922.56057	0.95689
2920.50677	0.95845
2918.45297	0.96006
2916.39917	0.96168
2914.34536	0.96315
2912.29156	0.9645
2910.23776	0.96599
2908.18396	0.96758
2906.13015	0.96901
2904.07635	0.97016
2902.02255	0.97084
2899.96875	0.97082
2897.91494	0.97036
2895.86114	0.97
2893.80734	0.97025
2891.75354	0.97141
2889.69974	0.97331
2887.64593	0.97529
2885.59213	0.97672
2883.53833	0.97739
2881.48453	0.97732
2879.43072	0.97651
2877.37692	0.97496
2875.32312	0.97258
2873.26932	0.96948
2871.21552	0.96619
2869.16171	0.96342
2867.10791	0.96169
2865.05411	0.9613
2863.00031	0.96242
2860.9465	0.9647
2858.8927	0.96751
2856.8389	0.97056
2854.7851	0.97376
2852.7313	0.97681
2850.67749	0.97955
2848.62369	0.98202
2846.56989	0.98426
2844.51609	0.98618
2842.46228	0.98771
2840.40848	0.98894
2838.35468	0.98978
2836.30088	0.99029
2834.24708	0.99078
2832.19327	0.99131
2830.13947	0.99182
2828.08567	0.99222
2826.03187	0.99247
2823.97806	0.9926
2821.92426	0.99266
2819.87046	0.9928
