Numero de onda	Acido_polilactico2.dpt
3035.51969	0.99719
3033.46589	0.99684
3031.41209	0.9961
3029.35829	0.99544
3027.30449	0.9952
3025.25068	0.99509
3023.19688	0.99476
3021.14308	0.99418
3019.08928	0.99346
3017.03547	0.99267
3014.98167	0.99174
3012.92787	0.99069
3010.87407	0.98972
3008.82027	0.98876
3006.76646	0.98773
3004.71266	0.9868
3002.65886	0.9859
3000.60506	0.9851
2998.55125	0.98473
2996.49745	0.98491
2994.44365	0.98593
2992.38985	0.98766
2990.33605	0.9894
2988.28224	0.991
2986.22844	0.9924
2984.17464	0.99341
2982.12084	0.99412
2980.06703	0.99455
2978.01323	0.99461
2975.95943	0.99443
2973.90563	0.9942
2971.85183	0.99387
2969.79802	0.99356
2967.74422	0.99337
2965.69042	0.99308
2963.63662	0.99248
2961.58281	0.99176
2959.52901	0.99102
2957.47521	0.98996
2955.42141	0.98873
2953.36761	0.98776
2951.3138	0.98698
2949.26	0.98643
2947.2062	0.98642
2945.1524	0.98707
2943.09859	0.98853
2941.04479	0.99034
2938.99099	0.99147
2936.93719	0.99223
2934.88339	0.99334
2932.82958	0.99418
2930.77578	0.99462
2928.72198	0.99515
2926.66818	0.99575
2924.61437	0.99619
2922.56057	0.99612
2920.50677	0.99591
2918.45297	0.99607
2916.39917	0.99645
2914.34536	0.99691
2912.29156	0.99733
2910.23776	0.99757
2908.18396	0.9976
2906.13015	0.9976
2904.07635	0.99761
2902.02255	0.99757
2899.96875	0.99769
2897.91494	0.998
2895.86114	0.99791
2893.80734	0.99716
2891.75354	0.99664
2889.69974	0.99689
2887.64593	0.9971
2885.59213	0.99678
2883.53833	0.99632
2881.48453	0.99607
2879.43072	0.99612
2877.37692	0.99639
2875.32312	0.99666
2873.26932	0.99676
2871.21552	0.99675
2869.16171	0.99691
2867.10791	0.99701
2865.05411	0.99688
2863.00031	0.99686
2860.9465	0.99706
2858.8927	0.99728
2856.8389	0.99726
2854.7851	0.99712
2852.7313	0.99726
2850.67749	0.99751
2848.62369	0.99759
2846.56989	0.99756
2844.51609	0.9975
2842.46228	0.99762
2840.40848	0.99779
2838.35468	0.99787
2836.30088	0.99795
2834.24708	0.99796
2832.19327	0.99803
2830.13947	0.99827
2828.08567	0.99849
2826.03187	0.99859
2823.97806	0.99876
2821.92426	0.99892
2819.87046	0.99893
2817.81666	0.99887
2815.76286	0.99905
2813.70905	0.99956
2811.65525	1.00003
2809.60145	1.00027
2807.54765	1.00032
2805.49384	1.00027
2803.44004	1.00035
2801.38624	1.00043
2799.33244	1.00017
2797.27864	0.99971
2795.22483	0.99935
2793.17103	0.99938
2791.11723	0.99961
2789.06343	0.99948
2787.00962	0.99924
2784.95582	0.99922
2782.90202	0.99928
