Numero de onda	Bis2 hidroxiet tereftalato.1.dpt
2520.01533	0.97979
2517.96153	0.98004
2515.90773	0.97982
2513.85393	0.98006
2511.80013	0.98065
2509.74632	0.98083
2507.69252	0.98084
2505.63872	0.98126
2503.58492	0.9817
2501.53111	0.98145
2499.47731	0.98083
2497.42351	0.98053
2495.36971	0.98052
2493.31591	0.98056
2491.2621	0.98054
2489.2083	0.9805
2487.1545	0.98062
2485.1007	0.98099
2483.04689	0.98153
2480.99309	0.98231
2478.93929	0.98317
2476.88549	0.98373
2474.83169	0.98398
2472.77788	0.98409
2470.72408	0.98406
2468.67028	0.98396
2466.61648	0.98424
2464.56267	0.98501
2462.50887	0.98538
2460.45507	0.98476
2458.40127	0.98394
2456.34747	0.98383
2454.29366	0.98412
2452.23986	0.98438
2450.18606	0.98481
2448.13226	0.98546
2446.07845	0.98603
2444.02465	0.9863
2441.97085	0.98637
2439.91705	0.98652
2437.86325	0.98671
2435.80944	0.98659
2433.75564	0.98636
2431.70184	0.98642
2429.64804	0.98658
2427.59423	0.98678
2425.54043	0.98692
2423.48663	0.98662
2421.43283	0.98617
2419.37903	0.98572
2417.32522	0.98516
2415.27142	0.98481
2413.21762	0.98469
2411.16382	0.98463
2409.11001	0.9846
2407.05621	0.98459
2405.00241	0.98459
2402.94861	0.98437
2400.89481	0.98403
2398.841	0.98372
2396.7872	0.98321
2394.7334	0.98279
2392.6796	0.98278
2390.62579	0.98297
2388.57199	0.98314
2386.51819	0.98315
2384.46439	0.9832
2382.41059	0.98328
2380.35678	0.98305
2378.30298	0.9828
2376.24918	0.98288
2374.19538	0.98338
2372.14157	0.98412
2370.08777	0.98456
2368.03397	0.98417
2365.98017	0.98264
2363.92637	0.98104
2361.87256	0.98096
2359.81876	0.98225
2357.76496	0.98337
2355.71116	0.98344
2353.65735	0.98333
2351.60355	0.98371
2349.54975	0.98403
2347.49595	0.98409
2345.44215	0.98415
2343.38834	0.9843
2341.33454	0.98436
2339.28074	0.98444
2337.22694	0.98488
2335.17313	0.98524
2333.11933	0.98506
2331.06553	0.98493
2329.01173	0.98496
2326.95793	0.98443
2324.90412	0.98369
2322.85032	0.98346
2320.79652	0.98358
2318.74272	0.98365
2316.68891	0.98389
2314.63511	0.98449
2312.58131	0.98482
2310.52751	0.98477
2308.47371	0.9847
2306.4199	0.98444
2304.3661	0.98417
2302.3123	0.98409
2300.2585	0.98422
2298.20469	0.9846
2296.15089	0.9848
2294.09709	0.9846
2292.04329	0.98436
2289.98949	0.98415
2287.93568	0.98389
2285.88188	0.98377
2283.82808	0.98428
2281.77428	0.9857
2279.72047	0.987
2277.66667	0.9874
2275.61287	0.98798
2273.55907	0.98889
2271.50527	0.98937
2269.45146	0.98971
2267.39766	0.99034
2265.34386	0.99088
2263.29006	0.99105
2261.23625	0.99078
2259.18245	0.99012
2257.12865	0.98973
2255.07485	0.99002
2253.02105	0.99043
2250.96724	0.99018
2248.91344	0.98951
2246.85964	0.98928
2244.80584	0.98996
2242.75203	0.99106
2240.69823	0.99181
2238.64443	0.99221
2236.59063	0.99186
2234.53683	0.9907
2232.48302	0.99017
2230.42922	0.99052
2228.37542	0.99125
2226.32162	0.99187
2224.26781	0.9917
2222.21401	0.99149
2220.16021	0.99194
2218.10641	0.99257
2216.0526	0.99313
2213.9988	0.99372
2211.945	0.994
2209.8912	0.9942
2207.8374	0.9948
2205.78359	0.9946
2203.72979	0.99331
2201.67599	0.99236
2199.62219	0.99216
2197.56838	0.99277
2195.51458	0.99389
2193.46078	0.99402
2191.40698	0.99266
2189.35318	0.99218
2187.29937	0.99381
2185.24557	0.99533
2183.19177	0.99559
2181.13797	0.99488
2179.08416	0.99352
2177.03036	0.99285
2174.97656	0.99306
2172.92276	0.99331
2170.86896	0.99324
2168.81515	0.99273
2166.76135	0.99267
2164.70755	0.99249
2162.65375	0.99276
2160.59994	0.99626
2158.54614	1.0
2156.49234	0.99943
2154.43854	0.99631
2152.38474	0.99369
2150.33093	0.9924
2148.27713	0.99235
2146.22333	0.99276
