Numero de onda	Teraftalato de polietileno.dpt
3197.77007	0.99457
3195.71627	0.99497
3193.66247	0.99508
3191.60866	0.99487
3189.55486	0.99467
3187.50106	0.99455
3185.44726	0.9945
3183.39345	0.99452
3181.33965	0.99434
3179.28585	0.99411
3177.23205	0.99415
3175.17825	0.99443
3173.12444	0.99453
3171.07064	0.99454
3169.01684	0.99453
3166.96304	0.99416
3164.90923	0.99366
3162.85543	0.99375
3160.80163	0.99435
3158.74783	0.9947
3156.69403	0.9947
3154.64022	0.99471
3152.58642	0.99485
3150.53262	0.99488
3148.47882	0.99436
3146.42501	0.99367
3144.37121	0.99381
3142.31741	0.99453
3140.26361	0.99494
3138.20981	0.99484
3136.156	0.99446
3134.1022	0.99425
3132.0484	0.9941
3129.9946	0.99381
3127.94079	0.99366
3125.88699	0.99386
3123.83319	0.99429
3121.77939	0.99426
3119.72559	0.99369
3117.67178	0.99333
3115.61798	0.99334
3113.56418	0.9934
3111.51038	0.9934
3109.45657	0.99315
3107.40277	0.99273
3105.34897	0.99245
3103.29517	0.9922
3101.24137	0.99198
3099.18756	0.99208
3097.13376	0.99238
3095.07996	0.9926
3093.02616	0.9927
3090.97235	0.99274
3088.91855	0.99258
3086.86475	0.99211
3084.81095	0.99169
3082.75715	0.99145
3080.70334	0.99095
3078.64954	0.99045
3076.59574	0.99057
3074.54194	0.99096
3072.48813	0.99117
3070.43433	0.99144
3068.38053	0.9917
3066.32673	0.99166
3064.27293	0.99139
3062.21912	0.99118
3060.16532	0.99122
3058.11152	0.99126
3056.05772	0.99096
3054.00391	0.99066
3051.95011	0.99066
3049.89631	0.99092
3047.84251	0.99134
3045.78871	0.9918
3043.7349	0.99239
3041.6811	0.993
3039.6273	0.99333
3037.5735	0.99343
3035.51969	0.99374
3033.46589	0.99425
3031.41209	0.99441
3029.35829	0.99394
3027.30449	0.99315
3025.25068	0.99274
3023.19688	0.99266
3021.14308	0.99223
3019.08928	0.99159
3017.03547	0.99126
3014.98167	0.99102
3012.92787	0.99049
