Numero de onda	POLIETILENO.3.dpt
2507.69252	0.9898
2505.63872	0.98959
2503.58492	0.98941
2501.53111	0.98959
2499.47731	0.98966
2497.42351	0.98953
2495.36971	0.98971
2493.31591	0.99016
2491.2621	0.99036
2489.2083	0.99002
2487.1545	0.98956
2485.1007	0.98941
2483.04689	0.9894
2480.99309	0.98943
2478.93929	0.98959
2476.88549	0.98971
2474.83169	0.98966
2472.77788	0.98973
2470.72408	0.99018
2468.67028	0.99055
2466.61648	0.99043
2464.56267	0.99029
2462.50887	0.99042
2460.45507	0.99057
2458.40127	0.99046
2456.34747	0.98999
2454.29366	0.9897
2452.23986	0.98993
2450.18606	0.99032
2448.13226	0.99047
2446.07845	0.99039
2444.02465	0.9903
2441.97085	0.99044
2439.91705	0.99075
2437.86325	0.99086
2435.80944	0.9909
2433.75564	0.99111
2431.70184	0.99117
2429.64804	0.99096
2427.59423	0.99068
2425.54043	0.99046
2423.48663	0.99018
2421.43283	0.98989
2419.37903	0.98971
2417.32522	0.98963
2415.27142	0.98983
2413.21762	0.99013
2411.16382	0.99039
2409.11001	0.99076
2407.05621	0.99089
2405.00241	0.99082
2402.94861	0.99072
2400.89481	0.99058
2398.841	0.99066
2396.7872	0.99094
2394.7334	0.99102
2392.6796	0.9908
2390.62579	0.99063
2388.57199	0.99076
2386.51819	0.99082
2384.46439	0.99073
2382.41059	0.99063
2380.35678	0.99005
2378.30298	0.98931
2376.24918	0.98944
2374.19538	0.99004
2372.14157	0.99011
2370.08777	0.98995
2368.03397	0.98996
2365.98017	0.98989
2363.92637	0.98962
2361.87256	0.98945
2359.81876	0.98911
2357.76496	0.98845
2355.71116	0.9881
2353.65735	0.98812
2351.60355	0.98823
2349.54975	0.98843
2347.49595	0.98846
2345.44215	0.98817
2343.38834	0.9877
2341.33454	0.98692
2339.28074	0.98632
2337.22694	0.98667
2335.17313	0.9872
2333.11933	0.98709
2331.06553	0.98687
2329.01173	0.98681
2326.95793	0.98631
2324.90412	0.98576
2322.85032	0.9861
2320.79652	0.98705
2318.74272	0.98776
2316.68891	0.988
2314.63511	0.98808
2312.58131	0.98822
2310.52751	0.98857
2308.47371	0.98882
2306.4199	0.98859
2304.3661	0.9884
2302.3123	0.98858
2300.2585	0.98889
2298.20469	0.98927
2296.15089	0.9895
2294.09709	0.98909
2292.04329	0.98847
2289.98949	0.9883
2287.93568	0.98862
2285.88188	0.98907
2283.82808	0.98923
2281.77428	0.98907
2279.72047	0.98897
2277.66667	0.98927
2275.61287	0.98951
2273.55907	0.98957
2271.50527	0.98973
2269.45146	0.98998
2267.39766	0.99064
2265.34386	0.99151
2263.29006	0.99202
2261.23625	0.9921
2259.18245	0.99169
2257.12865	0.99082
2255.07485	0.99028
2253.02105	0.99064
2250.96724	0.99093
2248.91344	0.99088
2246.85964	0.99121
2244.80584	0.99095
2242.75203	0.98992
2240.69823	0.98949
2238.64443	0.98949
2236.59063	0.98998
2234.53683	0.99106
2232.48302	0.99146
2230.42922	0.99131
2228.37542	0.99163
2226.32162	0.99185
2224.26781	0.99143
2222.21401	0.9912
2220.16021	0.99162
2218.10641	0.99178
2216.0526	0.99129
2213.9988	0.99088
2211.945	0.99102
2209.8912	0.99141
2207.8374	0.99134
2205.78359	0.99172
2203.72979	0.99327
2201.67599	0.99418
2199.62219	0.99374
2197.56838	0.99303
2195.51458	0.99214
2193.46078	0.99143
2191.40698	0.99185
2189.35318	0.99236
2187.29937	0.99196
2185.24557	0.99162
2183.19177	0.99181
2181.13797	0.99231
2179.08416	0.99342
2177.03036	0.99447
