Numero de onda	poliettilrn_succinato.dpt
2086.66306	0.98893
2084.60926	0.98777
2082.55546	0.98609
2080.50166	0.98511
2078.44786	0.98621
2076.39405	0.98822
2074.34025	0.9883
2072.28645	0.98645
2070.23265	0.98559
2068.17884	0.98539
2066.12504	0.98484
2064.07124	0.98628
2062.01744	0.98864
2059.96364	0.98822
2057.90983	0.98598
2055.85603	0.98514
2053.80223	0.98479
2051.74843	0.98364
2049.69462	0.98368
2047.64082	0.98363
2045.58702	0.98045
2043.53322	0.97733
2041.47942	0.97858
2039.42561	0.98187
2037.37181	0.98391
2035.31801	0.9852
2033.26421	0.98671
2031.2104	0.98857
2029.1566	0.98719
2027.1028	0.98262
2025.049	0.98046
2022.9952	0.98136
2020.94139	0.98299
2018.88759	0.98445
2016.83379	0.98563
2014.77999	0.98711
2012.72618	0.98974
2010.67238	0.99278
2008.61858	0.99367
2006.56478	0.99172
2004.51098	0.98909
2002.45717	0.98753
2000.40337	0.98729
1998.34957	0.98788
1996.29577	0.98895
1994.24196	0.98966
1992.18816	0.9896
1990.13436	0.9894
1988.08056	0.98795
1986.02676	0.98657
1983.97295	0.98872
1981.91915	0.99148
1979.86535	0.99259
1977.81155	0.9953
1975.75774	0.99649
1973.70394	0.99301
1971.65014	0.99039
1969.59634	0.99112
1967.54254	0.99218
1965.48873	0.99084
1963.43493	0.98721
1961.38113	0.98495
1959.32733	0.98549
1957.27352	0.98664
1955.21972	0.98822
1953.16592	0.99
1951.11212	0.98974
1949.05832	0.98764
1947.00451	0.9865
1944.95071	0.98706
1942.89691	0.98879
1940.84311	0.99065
1938.7893	0.99062
1936.7355	0.98832
1934.6817	0.98635
1932.6279	0.98655
1930.5741	0.98844
1928.52029	0.99062
1926.46649	0.99118
1924.41269	0.99052
1922.35889	0.98896
1920.30508	0.98655
1918.25128	0.98525
1916.19748	0.98602
1914.14368	0.98773
1912.08988	0.98916
1910.03607	0.9894
1907.98227	0.98816
1905.92847	0.98717
1903.87467	0.98787
1901.82086	0.98936
1899.76706	0.98986
1897.71326	0.98905
1895.65946	0.98819
1893.60566	0.98804
1891.55185	0.98821
1889.49805	0.98875
1887.44425	0.98947
1885.39045	0.98926
1883.33664	0.98859
1881.28284	0.98838
1879.22904	0.98816
1877.17524	0.98837
1875.12143	0.98923
1873.06763	0.98951
1871.01383	0.98937
1868.96003	0.98911
1866.90623	0.98843
1864.85242	0.98789
1862.79862	0.98825
1860.74482	0.98932
1858.69102	0.9895
1856.63721	0.98801
1854.58341	0.98631
1852.52961	0.98599
1850.47581	0.9868
1848.42201	0.98765
1846.3682	0.98797
1844.3144	0.98753
1842.2606	0.98682
1840.2068	0.9865
1838.15299	0.98602
1836.09919	0.98542
1834.04539	0.98545
1831.99159	0.98551
1829.93779	0.98453
1827.88398	0.98317
1825.83018	0.98239
1823.77638	0.9818
1821.72258	0.98147
1819.66877	0.98155
1817.61497	0.98173
1815.56117	0.98127
1813.50737	0.9802
1811.45357	0.979
1809.39976	0.97781
1807.34596	0.97703
1805.29216	0.97697
1803.23836	0.97687
1801.18455	0.97553
1799.13075	0.97348
1797.07695	0.97189
1795.02315	0.97098
1792.96935	0.97039
1790.91554	0.96962
1788.86174	0.96847
1786.80794	0.967
1784.75414	0.96504
1782.70033	0.96277
1780.64653	0.96074
1778.59273	0.95882
1776.53893	0.95646
1774.48513	0.95298
1772.43132	0.94802
1770.37752	0.94249
1768.32372	0.93695
1766.26992	0.93029
1764.21611	0.92211
1762.16231	0.90992
1760.10851	0.8931
1758.05471	0.87282
1756.00091	0.84777
1753.9471	0.82117
1751.8933	0.79059
1749.8395	0.74978
1747.7857	0.70218
1745.73189	0.65182
1743.67809	0.60069
1741.62429	0.5588
1739.57049	0.53266
1737.51669	0.51556
1735.46288	0.48622
1733.40908	0.42528
1731.35528	0.36223
1729.30148	0.31378
1727.24767	0.27622
1725.19387	0.25383
1723.14007	0.24685
1721.08627	0.2532
1719.03247	0.27145
1716.97866	0.30227
1714.92486	0.33904
1712.87106	0.3777
1710.81726	0.42154
1708.76345	0.47034
1706.70965	0.52343
1704.65585	0.57533
1702.60205	0.61633
1700.54825	0.6568
1698.49444	0.69456
1696.44064	0.72121
1694.38684	0.74218
1692.33304	0.75368
1690.27923	0.76182
1688.22543	0.77376
1686.17163	0.792
1684.11783	0.82011
1682.06403	0.84457
1680.01022	0.85824
1677.95642	0.86938
1675.90262	0.88101
1673.84882	0.89221
1671.79501	0.90038
1669.74121	0.90697
1667.68741	0.91206
1665.63361	0.91492
1663.57981	0.91733
1661.526	0.92016
1659.4722	0.92301
1657.4184	0.92541
1655.3646	0.92754
1653.31079	0.93009
1651.25699	0.93238
1649.20319	0.93405
1647.14939	0.93676
1645.09559	0.94028
1643.04178	0.94302
1640.98798	0.94532
1638.93418	0.9474
1636.88038	0.94951
1634.82657	0.9514
1632.77277	0.95276
1630.71897	0.95421
1628.66517	0.95602
1626.61137	0.95801
1624.55756	0.95995
1622.50376	0.96143
1620.44996	0.96235
1618.39616	0.96348
1616.34235	0.96514
1614.28855	0.96656
1612.23475	0.96733
1610.18095	0.96753
1608.12715	0.96771
1606.07334	0.96866
1604.01954	0.96976
1601.96574	0.97038
1599.91194	0.97088
1597.85813	0.97131
1595.80433	0.97139
1593.75053	0.97144
1591.69673	0.97201
1589.64293	0.97295
1587.58912	0.97379
1585.53532	0.9741
1583.48152	0.97402
1581.42772	0.97393
1579.37391	0.97385
1577.32011	0.97404
1575.26631	0.97457
1573.21251	0.97498
1571.15871	0.97527
1569.1049	0.97531
1567.0511	0.9752
1564.9973	0.97543
1562.9435	0.97588
1560.88969	0.97653
1558.83589	0.9774
1556.78209	0.97728
1554.72829	0.97644
1552.67449	0.97576
1550.62068	0.97564
1548.56688	0.97605
1546.51308	0.97677
1544.45928	0.97748
1542.40547	0.9776
1540.35167	0.97711
1538.29787	0.97658
1536.24407	0.9764
1534.19026	0.97651
1532.13646	0.97623
1530.08266	0.97571
1528.02886	0.97552
1525.97506	0.97546
1523.92125	0.9756
1521.86745	0.9761
1519.81365	0.97643
1517.75985	0.97629
1515.70604	0.97571
1513.65224	0.97511
1511.59844	0.9753
1509.54464	0.9765
1507.49084	0.97772
1505.43703	0.97712
1503.38323	0.97605
1501.32943	0.97545
1499.27563	0.97481
1497.22182	0.97428
1495.16802	0.97396
1493.11422	0.97352
1491.06042	0.97272
1489.00662	0.97113
1486.95281	0.96918
1484.89901	0.96779
1482.84521	0.96682
1480.79141	0.96581
1478.7376	0.9645
1476.6838	0.96272
1474.63	0.96057
1472.5762	0.95741
1470.5224	0.95324
1468.46859	0.94869
1466.41479	0.94191
1464.36099	0.93099
1462.30719	0.91914
1460.25338	0.90865
1458.19958	0.8935
1456.14578	0.86706
1454.09198	0.84158
1452.03818	0.8245
1449.98437	0.82014
1447.93057	0.83257
1445.87677	0.85257
1443.82297	0.86848
1441.76916	0.87853
1439.71536	0.88397
1437.66156	0.88583
1435.60776	0.88286
1433.55396	0.874
1431.50015	0.85508
1429.44635	0.81664
1427.39255	0.76208
1425.33875	0.71369
1423.28494	0.69664
1421.23114	0.71291
1419.17734	0.74127
1417.12354	0.76149
1415.06974	0.76906
1413.01593	0.7666
1410.96213	0.75285
1408.90833	0.73277
1406.85453	0.71781
1404.80072	0.71725
1402.74692	0.73089
1400.69312	0.74775
1398.63932	0.75655
1396.58552	0.74811
