Numero de onda	polietileno.dpt
2817.82742	0.92252
2815.77361	0.92883
2813.7198	0.93447
2811.66599	0.9397
2809.61218	0.94413
2807.55837	0.94777
2805.50456	0.95108
2803.45075	0.95401
2801.39693	0.95643
2799.34312	0.9588
2797.28931	0.96129
2795.2355	0.9635
2793.18169	0.96522
2791.12788	0.96664
2789.07407	0.96814
2787.02026	0.96994
2784.96645	0.97184
2782.91264	0.97349
2780.85883	0.97473
2778.80502	0.97564
2776.75121	0.97648
2774.6974	0.97728
2772.64359	0.97799
2770.58978	0.9786
2768.53597	0.97918
2766.48216	0.97962
2764.42835	0.98006
2762.37454	0.98061
2760.32073	0.98114
2758.26692	0.98183
2756.21311	0.98261
2754.1593	0.983
2752.10549	0.98313
2750.05168	0.98339
2747.99787	0.98348
2745.94406	0.9832
2743.89025	0.98295
2741.83644	0.98296
2739.78263	0.98322
2737.72882	0.98347
2735.67501	0.98356
2733.6212	0.98345
2731.56739	0.98338
2729.51358	0.98373
2727.45977	0.98435
2725.40596	0.98508
2723.35215	0.98584
2721.29834	0.98639
2719.24453	0.98683
2717.19072	0.9873
2715.13691	0.98754
2713.0831	0.98742
2711.02929	0.98709
2708.97548	0.98698
2706.92167	0.98723
2704.86786	0.98766
2702.81405	0.98817
2700.76024	0.98858
2698.70643	0.98879
2696.65262	0.98883
2694.59881	0.98872
2692.545	0.98858
2690.49119	0.98847
2688.43738	0.98828
2686.38357	0.98809
2684.32976	0.98794
2682.27595	0.98786
2680.22214	0.98802
2678.16833	0.98822
2676.11452	0.98834
2674.06071	0.98844
2672.0069	0.9884
2669.95309	0.98809
2667.89928	0.98756
2665.84547	0.9869
2663.79166	0.98631
2661.73785	0.9862
2659.68404	0.98656
2657.63023	0.98691
2655.57642	0.98704
2653.52261	0.98715
2651.4688	0.98738
2649.41499	0.98746
2647.36118	0.98729
2645.30737	0.98716
2643.25356	0.98705
2641.19975	0.98688
2639.14594	0.98703
2637.09213	0.98752
2635.03832	0.98765
2632.98451	0.98737
2630.9307	0.98744
2628.87689	0.98806
2626.82308	0.98869
2624.76927	0.98923
2622.71546	0.98981
2620.66165	0.9902
2618.60784	0.99043
2616.55403	0.99073
2614.50022	0.99107
2612.44641	0.99141
2610.3926	0.9919
2608.33879	0.99228
2606.28498	0.99236
2604.23117	0.99268
2602.17736	0.99325
2600.12355	0.99344
2598.06974	0.99336
2596.01593	0.99354
2593.96212	0.99382
2591.90831	0.99404
2589.8545	0.99451
2587.80069	0.99519
2585.74688	0.9956
2583.69307	0.99553
2581.63926	0.99543
2579.58545	0.99556
2577.53164	0.99568
2575.47783	0.99554
2573.42402	0.99534
2571.37021	0.99574
2569.3164	0.99645
2567.26259	0.99639
2565.20878	0.9959
2563.15497	0.9961
2561.10116	0.99662
2559.04735	0.9965
2556.99354	0.99628
2554.93973	0.99661
2552.88592	0.99711
2550.83211	0.99742
2548.7783	0.997
2546.72449	0.99615
2544.67068	0.99595
2542.61687	0.99614
2540.56306	0.99631
2538.50925	0.99675
2536.45544	0.99744
2534.40163	0.99776
2532.34782	0.99774
2530.29401	0.99813
2528.2402	0.99827
2526.18639	0.99765
2524.13258	0.99769
2522.07877	0.99822
2520.02496	0.99796
2517.97115	0.99747
2515.91734	0.99734
2513.86353	0.99752
2511.80972	0.9979
2509.75591	0.99875
2507.7021	0.99983
2505.64828	1.00009
2503.59447	0.99972
2501.54066	0.99937
2499.48685	0.99903
2497.43304	0.99893
2495.37923	0.999
2493.32542	0.99902
2491.27161	0.99922
2489.2178	0.99941
2487.16399	0.99955
2485.11018	0.99976
2483.05637	0.99992
2481.00256	1.00002
2478.94875	0.99972
2476.89494	0.99913
2474.84113	0.99908
2472.78732	0.99958
2470.73351	1.00013
2468.6797	1.00061
2466.62589	1.00084
2464.57208	1.00036
2462.51827	0.99928
2460.46446	0.99859
2458.41065	0.99875
2456.35684	0.99925
2454.30303	0.99957
2452.24922	0.99952
2450.19541	0.99919
2448.1416	0.99906
2446.08779	0.99921
2444.03398	0.99918
2441.98017	0.999
2439.92636	0.99923
2437.87255	1.00016
2435.81874	1.00055
2433.76493	0.99988
2431.71112	0.99924
2429.65731	0.99898
2427.6035	0.99915
2425.54969	0.99982
2423.49588	1.00018
2421.44207	0.99985
2419.38826	0.9996
2417.33445	0.99971
2415.28064	0.99984
2413.22683	0.99982
2411.17302	0.99965
2409.11921	0.99963
2407.0654	0.99977
2405.01159	0.99959
2402.95778	0.99923
2400.90397	0.99907
2398.85016	0.99907
2396.79635	0.99907
2394.74254	0.9989
2392.68873	0.99885
2390.63492	0.99916
2388.58111	0.9995
2386.5273	0.99982
2384.47349	1.00012
2382.41968	1.00017
2380.36587	0.99992
2378.31206	0.99912
2376.25825	0.99815
2374.20444	0.99786
2372.15063	0.9982
2370.09682	0.9988
2368.04301	0.99886
2365.9892	0.99876
2363.93539	0.99951
2361.88158	1.0002
2359.82777	1.00013
2357.77396	0.99888
2355.72015	0.99653
2353.66634	0.99499
2351.61253	0.99552
2349.55872	0.99686
2347.50491	0.99779
2345.4511	0.99781
2343.39729	0.9969
2341.34348	0.9959
2339.28967	0.99527
2337.23586	0.99518
2335.18205	0.99534
2333.12824	0.99578
2331.07443	0.99624
2329.02062	0.99589
2326.96681	0.99537
