Numero de onda	polivil_alcohol.dpt
3203.94371	0.8495
3201.8899	0.85078
3199.83609	0.85223
3197.78228	0.85376
3195.72847	0.85531
3193.67466	0.85634
3191.62085	0.85676
3189.56704	0.85703
3187.51323	0.85751
3185.45942	0.85838
3183.40561	0.85966
3181.3518	0.86104
3179.29799	0.86214
3177.24418	0.86294
3175.19037	0.86368
3173.13656	0.86449
3171.08275	0.86548
3169.02894	0.86671
3166.97513	0.8679
3164.92132	0.86873
3162.86751	0.8695
3160.8137	0.87088
3158.75989	0.87239
3156.70608	0.87326
3154.65227	0.87411
3152.59846	0.87534
3150.54465	0.87659
3148.49084	0.87763
3146.43703	0.87851
3144.38322	0.87936
3142.32941	0.88034
3140.2756	0.88149
3138.22179	0.8828
3136.16798	0.88432
3134.11417	0.8859
3132.06036	0.88722
3130.00655	0.88822
3127.95274	0.88891
3125.89893	0.88931
3123.84512	0.88979
3121.79131	0.89067
3119.7375	0.89196
3117.68369	0.89333
3115.62988	0.89426
3113.57607	0.89475
3111.52226	0.89537
3109.46845	0.89663
3107.41464	0.89842
3105.36083	0.89996
3103.30702	0.90056
3101.25321	0.90057
3099.1994	0.90099
3097.14559	0.90213
3095.09177	0.90353
3093.03796	0.90489
3090.98415	0.90632
3088.93034	0.90775
3086.87653	0.90878
3084.82272	0.90924
3082.76891	0.90967
3080.7151	0.91024
3078.66129	0.91077
3076.60748	0.91158
3074.55367	0.91277
3072.49986	0.91383
3070.44605	0.91434
3068.39224	0.91474
3066.33843	0.91544
3064.28462	0.91626
3062.23081	0.9171
3060.177	0.91797
3058.12319	0.91872
3056.06938	0.91924
3054.01557	0.91964
3051.96176	0.92012
3049.90795	0.92098
3047.85414	0.92231
3045.80033	0.92356
3043.74652	0.92408
3041.69271	0.92416
3039.6389	0.92467
3037.58509	0.92577
3035.53128	0.92662
3033.47747	0.92682
3031.42366	0.92697
3029.36985	0.92751
3027.31604	0.92826
3025.26223	0.92909
3023.20842	0.92975
3021.15461	0.93009
3019.1008	0.93066
3017.04699	0.93161
3014.99318	0.93229
3012.93937	0.93259
3010.88556	0.93295
3008.83175	0.93329
3006.77794	0.93359
3004.72413	0.9344
3002.67032	0.93535
3000.61651	0.93595
2998.5627	0.93642
2996.50889	0.93673
2994.45508	0.93677
2992.40127	0.93686
2990.34746	0.93729
2988.29365	0.93767
2986.23984	0.93749
2984.18603	0.93715
2982.13222	0.93702
2980.07841	0.93679
2978.0246	0.93663
2975.97079	0.93652
2973.91698	0.93595
2971.86317	0.9347
2969.80936	0.93278
2967.75555	0.93012
2965.70174	0.9269
2963.64793	0.92331
2961.59412	0.91952
2959.54031	0.9155
2957.4865	0.91061
2955.43269	0.90461
2953.37888	0.89808
2951.32507	0.89155
2949.27126	0.88513
2947.21745	0.87918
2945.16364	0.87453
2943.10983	0.8714
2941.05602	0.86951
2939.00221	0.8686
2936.9484	0.86832
2934.89459	0.86834
2932.84078	0.86887
2930.78697	0.8699
2928.73316	0.87078
2926.67935	0.87125
2924.62554	0.87124
2922.57173	0.87055
2920.51792	0.86947
2918.46411	0.86818
2916.4103	0.86674
2914.35649	0.86538
2912.30268	0.86369
2910.24887	0.86156
2908.19506	0.85958
2906.14125	0.8584
2904.08744	0.85849
2902.03363	0.85978
2899.97982	0.86217
2897.92601	0.86551
2895.8722	0.8692
2893.81839	0.8728
2891.76458	0.87627
2889.71077	0.87937
2887.65696	0.88195
2885.60315	0.8841
2883.54934	0.88588
2881.49553	0.88752
2879.44172	0.8892
2877.38791	0.89066
2875.3341	0.89144
2873.28029	0.89166
2871.22648	0.89202
2869.17267	0.89278
2867.11886	0.89374
2865.06505	0.89455
2863.01124	0.89493
2860.95743	0.89521
2858.90362	0.89571
2856.84981	0.89629
2854.796	0.89707
2852.74219	0.89814
2850.68838	0.89925
2848.63457	0.90029
2846.58076	0.90142
2844.52695	0.90285
2842.47314	0.90443
2840.41933	0.90558
2838.36552	0.9062
2836.31171	0.90678
2834.2579	0.90746
2832.20409	0.90809
2830.15028	0.90886
2828.09647	0.90994
2826.04266	0.91103
2823.98885	0.91176
2821.93504	0.91239
2819.88123	0.91326
2817.82742	0.91431
2815.77361	0.91532
2813.7198	0.91635
2811.66599	0.9177
2809.61218	0.91932
2807.55837	0.92072
2805.50456	0.92162
2803.45075	0.92236
2801.39693	0.92314
2799.34312	0.92386
2797.28931	0.92448
2795.2355	0.9252
2793.18169	0.92596
2791.12788	0.9265
2789.07407	0.92691
2787.02026	0.92723
2784.96645	0.92758
2782.91264	0.92829
2780.85883	0.9292
2778.80502	0.9299
2776.75121	0.93046
2774.6974	0.93095
2772.64359	0.93112
2770.58978	0.93113
2768.53597	0.93119
2766.48216	0.9313
2764.42835	0.93148
