Numero de onda	acido_polilactico.dpt
2867.11886	0.99125
2865.06505	0.99132
2863.01124	0.99164
2860.95743	0.99203
2858.90362	0.99227
2856.84981	0.99243
2854.796	0.9925
2852.74219	0.99244
2850.68838	0.99228
2848.63457	0.99222
2846.58076	0.99226
2844.52695	0.99221
2842.47314	0.99208
2840.41933	0.99198
2838.36552	0.99204
2836.31171	0.99229
2834.2579	0.99246
2832.20409	0.99241
2830.15028	0.99237
2828.09647	0.99235
2826.04266	0.9922
2823.98885	0.99215
2821.93504	0.99242
2819.88123	0.99262
2817.82742	0.99256
2815.77361	0.99255
2813.7198	0.99271
2811.66599	0.99287
2809.61218	0.99283
2807.55837	0.99274
2805.50456	0.99291
2803.45075	0.99312
2801.39693	0.99319
2799.34312	0.99331
2797.28931	0.99352
2795.2355	0.99368
2793.18169	0.9935
2791.12788	0.99311
2789.07407	0.99302
2787.02026	0.99324
2784.96645	0.99342
2782.91264	0.99337
2780.85883	0.99324
2778.80502	0.9934
2776.75121	0.99383
2774.6974	0.99404
2772.64359	0.99378
2770.58978	0.99354
2768.53597	0.99367
2766.48216	0.99376
2764.42835	0.99355
2762.37454	0.9933
2760.32073	0.9932
2758.26692	0.99321
2756.21311	0.99324
2754.1593	0.99325
2752.10549	0.99338
2750.05168	0.99358
2747.99787	0.99358
2745.94406	0.99338
2743.89025	0.9932
2741.83644	0.99316
2739.78263	0.99315
2737.72882	0.99328
2735.67501	0.99349
2733.6212	0.99342
2731.56739	0.99329
2729.51358	0.99332
2727.45977	0.99329
2725.40596	0.9931
2723.35215	0.99305
2721.29834	0.99324
2719.24453	0.99344
2717.19072	0.99347
2715.13691	0.99341
2713.0831	0.9934
2711.02929	0.99345
2708.97548	0.99365
2706.92167	0.99376
2704.86786	0.9935
2702.81405	0.99314
2700.76024	0.99301
2698.70643	0.99303
2696.65262	0.99307
2694.59881	0.99306
2692.545	0.99301
2690.49119	0.99297
2688.43738	0.99298
2686.38357	0.99311
2684.32976	0.99328
2682.27595	0.99322
2680.22214	0.99313
2678.16833	0.9932
2676.11452	0.9933
2674.06071	0.99314
2672.0069	0.9928
2669.95309	0.99267
2667.89928	0.99279
2665.84547	0.99282
2663.79166	0.9926
2661.73785	0.99236
2659.68404	0.99226
2657.63023	0.9923
2655.57642	0.99243
2653.52261	0.9924
2651.4688	0.99219
2649.41499	0.99218
2647.36118	0.99235
2645.30737	0.99238
2643.25356	0.99222
2641.19975	0.99209
2639.14594	0.99205
2637.09213	0.99203
2635.03832	0.99206
2632.98451	0.99211
2630.9307	0.99221
2628.87689	0.99236
2626.82308	0.99231
2624.76927	0.9922
2622.71546	0.99225
2620.66165	0.99216
2618.60784	0.99191
2616.55403	0.99184
2614.50022	0.99224
2612.44641	0.99274
2610.3926	0.99277
2608.33879	0.99268
2606.28498	0.99283
2604.23117	0.99286
2602.17736	0.99272
2600.12355	0.99281
2598.06974	0.99307
2596.01593	0.99313
2593.96212	0.99295
2591.90831	0.99286
2589.8545	0.99285
2587.80069	0.99268
2585.74688	0.99252
2583.69307	0.99246
2581.63926	0.99224
2579.58545	0.99213
2577.53164	0.99251
2575.47783	0.99284
2573.42402	0.9928
2571.37021	0.99283
2569.3164	0.99294
2567.26259	0.99288
2565.20878	0.99297
2563.15497	0.99312
2561.10116	0.99294
2559.04735	0.9929
2556.99354	0.99313
2554.93973	0.99308
2552.88592	0.99287
2550.83211	0.99274
2548.7783	0.99265
2546.72449	0.9928
2544.67068	0.99328
2542.61687	0.99361
2540.56306	0.99361
2538.50925	0.99359
2536.45544	0.9937
2534.40163	0.99395
2532.34782	0.99404
2530.29401	0.99388
2528.2402	0.99369
2526.18639	0.99348
2524.13258	0.99307
2522.07877	0.993
2520.02496	0.99353
2517.97115	0.99367
2515.91734	0.9934
2513.86353	0.99353
2511.80972	0.994
2509.75591	0.9942
2507.7021	0.99391
2505.64828	0.99348
2503.59447	0.99338
2501.54066	0.9935
2499.48685	0.99353
2497.43304	0.99351
2495.37923	0.99342
2493.32542	0.99333
2491.27161	0.99355
2489.2178	0.99399
2487.16399	0.99412
2485.11018	0.99382
2483.05637	0.99348
2481.00256	0.99353
2478.94875	0.99392
2476.89494	0.9941
2474.84113	0.99382
2472.78732	0.99349
2470.73351	0.99343
2468.6797	0.99359
2466.62589	0.99373
2464.57208	0.99382
2462.51827	0.99397
2460.46446	0.99389
2458.41065	0.99364
2456.35684	0.99365
2454.30303	0.9938
2452.24922	0.99397
2450.19541	0.99413
2448.1416	0.99424
2446.08779	0.9943
2444.03398	0.99423
2441.98017	0.99407
2439.92636	0.99387
2437.87255	0.99363
2435.81874	0.99335
2433.76493	0.99327
2431.71112	0.99363
2429.65731	0.99405
2427.6035	0.994
2425.54969	0.99354
2423.49588	0.99324
2421.44207	0.99341
2419.38826	0.99367
2417.33445	0.99373
2415.28064	0.9937
2413.22683	0.99376
2411.17302	0.99402
2409.11921	0.99422
2407.0654	0.99395
2405.01159	0.99354
2402.95778	0.99358
2400.90397	0.99395
2398.85016	0.9941
2396.79635	0.99387
2394.74254	0.99367
2392.68873	0.99365
2390.63492	0.99379
2388.58111	0.99401
2386.5273	0.99409
2384.47349	0.99412
2382.41968	0.99419
2380.36587	0.99457
2378.31206	0.99551
2376.25825	0.99642
2374.20444	0.99736
2372.15063	0.99863
2370.09682	0.99928
2368.04301	1.00029
2365.9892	1.00321
2363.93539	1.00515
2361.88158	1.00375
2359.82777	1.00134
2357.77396	0.99988
2355.72015	0.99882
2353.66634	0.99702
2351.61253	0.99536
2349.55872	0.99461
2347.50491	0.99442
2345.4511	0.99479
2343.39729	0.99581
2341.34348	0.99721
2339.28967	0.9985
2337.23586	0.99782
2335.18205	0.99568
2333.12824	0.99489
2331.07443	0.99504
2329.02062	0.99438
2326.96681	0.99292
2324.913	0.99194
2322.85919	0.99206
2320.80538	0.9923
2318.75157	0.99225
2316.69776	0.99222
2314.64395	0.99269
2312.59014	0.9936
2310.53633	0.99358
2308.48252	0.99257
2306.42871	0.99173
2304.3749	0.9915
2302.32109	0.99209
2300.26728	0.99289
2298.21347	0.9928
2296.15966	0.99204
2294.10585	0.99151
2292.05204	0.99165
2289.99823	0.99217
2287.94442	0.99243
2285.89061	0.99256
2283.8368	0.99298
2281.78299	0.99317
2279.72918	0.9928
2277.67537	0.99262
2275.62156	0.99279
2273.56775	0.99292
2271.51394	0.99321
2269.46013	0.99357
2267.40632	0.99371
2265.35251	0.99381
2263.2987	0.9944
2261.24489	0.99526
2259.19108	0.99526
2257.13727	0.99477
2255.08346	0.99497
2253.02965	0.9954
2250.97584	0.9956
2248.92203	0.99594
2246.86822	0.99621
2244.81441	0.99649
2242.7606	0.99668
2240.70679	0.99581
2238.65298	0.99479
2236.59917	0.99471
2234.54536	0.99476
2232.49155	0.99465
2230.43774	0.99479
2228.38393	0.99551
2226.33012	0.99643
2224.27631	0.9962
2222.2225	0.99495
2220.16869	0.99434
2218.11488	0.99514
2216.06107	0.99654
2214.00726	0.99705
2211.95344	0.9962
2209.89963	0.99493
2207.84582	0.99406
2205.79201	0.99373
2203.7382	0.99448
2201.68439	0.99624
2199.63058	0.99742
2197.57677	0.9974
2195.52296	0.99768
2193.46915	0.99831
2191.41534	0.99817
2189.36153	0.99753
2187.30772	0.99682
2185.25391	0.997
2183.2001	0.99889
2181.14629	1.00003
2179.09248	0.99888
2177.03867	0.99807
2174.98486	0.99796
2172.93105	0.997
2170.87724	0.99659
2168.82343	0.99721
2166.76962	0.99732
2164.71581	0.99631
2162.662	0.99557
2160.60819	0.99716
2158.55438	1.00014
2156.50057	1.00183
2154.44676	1.00211
2152.39295	1.00157
2150.33914	1.00059
2148.28533	1.00017
2146.23152	1.00027
2144.17771	0.99964
2142.1239	0.99873
2140.07009	0.99855
2138.01628	0.99827
2135.96247	0.99783
2133.90866	0.99819
2131.85485	0.99831
2129.80104	0.99765
2127.74723	0.99709
2125.69342	0.99649
2123.63961	0.99576
2121.5858	0.9953
2119.53199	0.99494
2117.47818	0.9945
2115.42437	0.99427
2113.37056	0.99421
2111.31675	0.99375
2109.26294	0.99334
2107.20913	0.9937
2105.15532	0.99427
2103.10151	0.99427
2101.0477	0.99401
2098.99389	0.99374
2096.94008	0.99365
2094.88627	0.99468
2092.83246	0.99612
2090.77865	0.99596
2088.72484	0.99466
2086.67103	0.99381
2084.61722	0.99344
2082.56341	0.99333
2080.5096	0.99365
2078.45579	0.99404
2076.40198	0.99414
2074.34817	0.99435
2072.29436	0.99473
2070.24055	0.99472
2068.18674	0.99445
2066.13293	0.99403
2064.07912	0.99337
2062.02531	0.99315
2059.9715	0.99368
2057.91769	0.99446
2055.86388	0.99524
2053.81007	0.99539
2051.75626	0.99463
2049.70245	0.99452
2047.64864	0.99502
2045.59483	0.99438
2043.54102	0.99368
2041.48721	0.99414
2039.4334	0.99465
2037.37959	0.99551
2035.32578	0.99745
2033.27197	0.99889
2031.21816	0.99872
2029.16435	0.99724
2027.11054	0.99619
2025.05673	0.99733
2023.00292	0.99889
2020.94911	0.99897
2018.8953	0.99826
2016.84149	0.99673
2014.78768	0.99536
2012.73387	0.99563
2010.68006	0.99567
2008.62625	0.99484
2006.57244	0.99494
2004.51863	0.99541
2002.46482	0.99518
2000.41101	0.99463
1998.3572	0.99457
1996.30339	0.99517
1994.24958	0.99535
1992.19577	0.99449
1990.14196	0.99325
1988.08815	0.9929
1986.03434	0.99339
1983.98053	0.9931
1981.92672	0.99149
1979.87291	0.99094
1977.8191	0.9932
1975.76529	0.99558
1973.71148	0.99619
1971.65767	0.99617
1969.60386	0.99574
1967.55005	0.9952
1965.49624	0.99494
1963.44243	0.99464
1961.38862	0.99503
1959.33481	0.99579
1957.281	0.99527
1955.22719	0.9937
1953.17338	0.99311
1951.11957	0.99441
1949.06576	0.99603
1947.01195	0.99682
1944.95814	0.99694
1942.90433	0.99655
1940.85052	0.99585
1938.79671	0.99543
1936.7429	0.99512
1934.68909	0.99458
1932.63528	0.99437
1930.58147	0.99473
1928.52766	0.99505
1926.47385	0.99524
1924.42004	0.99556
1922.36623	0.99546
1920.31242	0.99517
1918.25861	0.99536
1916.20479	0.99561
1914.15098	0.99559
1912.09717	0.99583
1910.04336	0.99576
1907.98955	0.99438
1905.93574	0.99325
1903.88193	0.99365
1901.82812	0.9945
1899.77431	0.99494
1897.7205	0.99511
1895.66669	0.99505
1893.61288	0.99497
1891.55907	0.99485
1889.50526	0.99459
1887.45145	0.9945
1885.39764	0.9948
1883.34383	0.99526
1881.29002	0.99545
1879.23621	0.99503
1877.1824	0.99429
1875.12859	0.99399
1873.07478	0.99407
1871.02097	0.99437
1868.96716	0.99463
1866.91335	0.99445
1864.85954	0.99409
